"STATION","NAME","DATE","TMAX","TMIN"
"MXM00076680","MEXICO CITY, MX","2009-08-01","83","56"
"MXM00076680","MEXICO CITY, MX","2009-08-02","81","56"
"MXM00076680","MEXICO CITY, MX","2009-08-03","83","57"
"MXM00076680","MEXICO CITY, MX","2009-08-04","80","56"
"MXM00076680","MEXICO CITY, MX","2009-08-05","80","56"
"MXM00076680","MEXICO CITY, MX","2009-08-06","80","55"
"MXM00076680","MEXICO CITY, MX","2009-08-07",,
"MXM00076680","MEXICO CITY, MX","2009-08-08","79","56"
"MXM00076680","MEXICO CITY, MX","2009-08-09",,
"MXM00076680","MEXICO CITY, MX","2009-08-10","76","57"
"MXM00076680","MEXICO CITY, MX","2009-08-11","78","56"
"MXM00076680","MEXICO CITY, MX","2009-08-12","80","55"
"MXM00076680","MEXICO CITY, MX","2009-08-13","81","54"
"MXM00076680","MEXICO CITY, MX","2009-08-14","80","54"
"MXM00076680","MEXICO CITY, MX","2009-08-18","79","54"
"MXM00076680","MEXICO CITY, MX","2009-08-19","75","54"
"MXM00076680","MEXICO CITY, MX","2009-08-20","76","55"
"MXM00076680","MEXICO CITY, MX","2009-08-21","79","56"
"MXM00076680","MEXICO CITY, MX","2009-08-24","82","55"
"MXM00076680","MEXICO CITY, MX","2009-08-25","79","55"
"MXM00076680","MEXICO CITY, MX","2009-08-26","74","56"
"MXM00076680","MEXICO CITY, MX","2009-08-27",,
"MXM00076680","MEXICO CITY, MX","2009-08-28","79","55"
"MXM00076680","MEXICO CITY, MX","2009-09-01","75","55"
"MXM00076680","MEXICO CITY, MX","2009-09-02","77","55"
"MXM00076680","MEXICO CITY, MX","2009-09-03","78","56"
"MXM00076680","MEXICO CITY, MX","2009-09-04",,
"MXM00076680","MEXICO CITY, MX","2009-09-07","78","55"
"MXM00076680","MEXICO CITY, MX","2009-09-08",,
"MXM00076680","MEXICO CITY, MX","2009-09-09","75","57"
"MXM00076680","MEXICO CITY, MX","2009-09-10","73","58"
"MXM00076680","MEXICO CITY, MX","2009-09-11","76","57"
"MXM00076680","MEXICO CITY, MX","2009-09-12",,
"MXM00076680","MEXICO CITY, MX","2009-09-15","72","56"
"MXM00076680","MEXICO CITY, MX","2009-09-17",,
"MXM00076680","MEXICO CITY, MX","2009-09-18",,
